station_name,station_code,state,railway_zone_code,latitude,longitude,is_junction,route_count,station_count_in_state
SINGWAL,SGW,Rajasthan,NWR,26.061015,74.68275899999999,False,0,645.0
WHITE FIELD SATELLITE,SGWF,Karnataka,,12.9960174083,77.7614779608,False,0,416.0
Singriawan,SGYW,Bihar,,25.4095173407,85.28453529789999,False,0,711.0
SHAMGARH,SGZ,Madhya Pradesh,,24.191141,75.642842,True,38,614.0
SHAHAD,SHAD,Maharashtra,,19.244702,73.158611,False,0,754.0
SRINIVASA NAGAR,SHAN,Andhra Pradesh,SCR,17.9099557799,78.4619205481,False,1,574.0
Shahibag,SHB,Gujarat,,23.035546,72.600949,False,0,633.0
SAHEBTALA,SHBA,West Bengal,ER,23.591585,88.200996,False,0,713.0
SIBAICHANDI,SHBC,West Bengal,,22.974465,88.13369,False,0,713.0
SHIBLUN,SHBL,West Bengal,ER,23.692561,88.082999,False,0,713.0
SAHARSA JN,SHC,Bihar,ECR,25.875207999999997,86.594953,True,12,711.0
SHAHBAD MARKNDA,SHDM,Haryana,,30.166186,76.861554,True,10,201.0
SHADHORAGAON,SHDR,Madhya Pradesh,,24.633366,77.584671,True,2,614.0
SEORAPHULI,SHE,West Bengal,,22.774749,88.328809,True,12,713.0
SHISHO,SHEO,Bihar,,26.206032,85.863867,False,0,711.0
Sher,SHER,Bihar,,26.3516649204,84.628290531,False,0,711.0
Shirud,SHF,Maharashtra,CR,20.735376,74.876271,True,4,754.0
SHAHGANJ JN,SHG,Uttar Pradesh,,26.061399,82.679662,True,51,1205.0
SHRI GHASINAGAR,SHGN,Rajasthan,,27.0865148373,76.6268054126,False,0,645.0
SHAPUR JN,SHH,Gujarat,WR,21.478281,70.37105700000001,False,0,633.0
SINGHAUL HALT,SHHT,Bihar,,25.4350086438,86.0966802881,False,0,711.0
SINGANALLUR,SHI,Tamil Nadu,,11.012921,77.03945900000001,False,0,557.0
SHINDAWANE,SHIV,Maharashtra,CR,18.434555000000003,74.163601,False,0,754.0
SAHAJIPUR HALT,SHJP,Uttar Pradesh,,26.096303,81.864192,False,0,1205.0
SHEIKPURA,SHK,Bihar,ECR,25.132088,85.854024,True,4,711.0
Saharsa Kutchery Halt,SHKY,Bihar,ECR,,,False,0,711.0
SHOLAKA,SHLK,Haryana,,27.973644,77.360583,False,0,201.0
SHELU,SHLU,Maharashtra,,19.062985,73.317386,False,0,754.0
KOLKATA SHALIMAR,SHM,West Bengal,SER,22.555508,88.315615,True,26,713.0
SHIROOR,SHMI,Karnataka,KR,13.930712,74.59396600000001,True,2,416.0
Suchan Kotli,SHN,Haryana,NWR,29.515832999999997,75.170322,False,0,201.0
SHIVNAGAR,SHNG,Uttar Pradesh,,26.336305000000003,81.882608,False,1,1205.0
SHADNAGAR,SHNR,Telangana,,17.064646,78.213273,True,12,150.0
SHEO SINGH PURA,SHNX,Rajasthan,,26.913378,75.567278,True,4,645.0
SIHORA ROAD,SHR,Madhya Pradesh,WCR,23.467136,80.110265,True,33,614.0
SAIJ SERTHA RD,SHRD,Gujarat,WR,23.2126,72.520002,True,2,633.0
Sri Ramgarh Halt,SHRG,Rajasthan,NWR,,,False,0,645.0
SHARMA,SHRM,Uttar Pradesh,,27.603853,80.003288,False,0,1205.0
SAHARSRAKUND,SHSK,Maharashtra,SCR,19.402665,78.00795299999999,True,6,754.0
SAHARI HALT,SHT,Bihar,,25.4756926973,85.7277666345,False,0,711.0
Sambhal Hatim Sarai,SHTS,Uttar Pradesh,NR,28.596912,78.568241,False,0,1205.0
Silghat Town,SHTT,Assam,NFR,26.608902,92.929931,True,2,278.0
SHOLINGHUR,SHU,Tamil Nadu,,13.013974,79.484589,True,9,557.0
SHIVANI,SHV,Karnataka,SWR,13.8111396742,76.0582362866,True,5,416.0
SAMHON,SHW,Uttar Pradesh,,26.734186,79.320694,False,0,1205.0
SAHUWALA,SHWL,Rajasthan,,29.355217,73.812967,False,0,645.0
SHUKHARULLAPUR,SHX,Uttar Pradesh,,27.44826,79.471943,False,0,1205.0
Sakarayapatna,SHYP,Karnataka,,13.4304238812,75.92847693120001,False,0,416.0
Summer Hill,SHZ,Himachal Pradesh,NR,31.107469,77.138165,True,6,55.0
SONALLI,SI,Bihar,,25.6047539571,87.7176386707,True,4,711.0
SHIVLANKHA,SIA,Gujarat,,23.380465,70.620232,False,0,633.0
SONIK,SIC,Uttar Pradesh,,26.586191,80.559833,False,1,1205.0
SHAHEED ISHWAR CHOWDHARY HALT,SICY,Bihar,,24.80741419,85.01490964999999,False,0,711.0
SIDDHPUR,SID,Gujarat,WR,23.918067,72.367959,True,24,633.0
SIDDAMPALLI,SIE,Andhra Pradesh,,13.160645,79.137135,False,0,574.0
SIRLI,SIF,Maharashtra,SCR,19.5087818977,77.21222487729999,False,0,754.0
SIHO,SIHO,Bihar,,26.00841,85.50594000000001,True,2,711.0
SITIMANI,SII,Karnataka,SWR,16.31992,75.865598,False,0,416.0
SIKRODA KWANRI,SIKD,Madhya Pradesh,,26.569564,77.96285300000001,False,0,614.0
Sikar Junction,SIKR,Rajasthan,NWR,27.616275,75.15337799999999,False,0,645.0
SAKHI GOPAL,SIL,Odisha,,19.942882,85.816074,True,30,235.0
Silao,SILO,Bihar,ECR,25.078598999999997,85.434638,True,2,711.0
SHRI AMIRGADH,SIM,Rajasthan,NWR,24.405948,72.643675,True,3,645.0
MUMBAI SION,SIN,Maharashtra,,19.047725,72.864262,False,0,754.0
SINI JN,SINI,Jharkhand,,22.78946,85.94702600000001,True,20,270.0
Sinor,SINR,Gujarat,WR,21.91134392138467,73.33612949587405,False,0,633.0
SAMAKHIALI JN,SIOB,Gujarat,,23.309819,70.503394,True,34,633.0
SURAIMANPUR,SIP,Bihar,,25.80918,84.48002199999999,True,28,711.0
Singhookharia,SIPA,Jharkhand,SER,22.498243,85.795126,False,0,270.0
SIHAPAR,SIPR,Uttar Pradesh,,26.757903231,83.16487227660001,False,1,1205.0
SARKONI,SIQ,Uttar Pradesh,,25.643114,82.75211999999999,False,1,1205.0
SIRHIND JN,SIR,Punjab,,30.624222,76.383194,True,48,297.0
Sirhi Itara,SIRA,Uttar Pradesh,NCR,26.367008,80.21523499999999,False,0,1205.0
Sird,SIRD,Rajasthan,?,27.5544208128,72.5964046204,False,0,645.0
Shirala,SIRL,Maharashtra,,21.123835999999997,77.726017,False,0,754.0
Singuli Shyam,SISM,Rajasthan,,25.186362,75.00444200000001,False,0,645.0
SISAUNA,SISN,Uttar Pradesh,,29.216155,78.28054900000001,False,0,1205.0
Singur,SIU,West Bengal,ER,22.814558,88.228712,False,0,713.0
SIVNAR HALT,SIVN,Bihar,,25.40468,85.880824,False,0,711.0
SHIRRAVDE,SIW,Maharashtra,CR,17.3606825795,74.1573548438,False,1,754.0
Sirry,SIY,Chhattisgarh,SECR,20.990441,81.731233,False,0,162.0
Shrikhanda,SIZ,West Bengal,ER,23.5956814,88.0616835,False,0,713.0
SIJUA,SJA,Jharkhand,,23.7901556866,86.3297280994,False,0,270.0
SANJUJE DA AREY,SJDA,Goa,SWR,15.4374940478,75.5962538599,False,0,21.0
SRI JHADESHWAR,SJDR,Odisha,,20.5965342443,86.0192559912,False,0,235.0
SANJARPUR,SJER,Uttar Pradesh,,26.0173317932,82.97217946560001,False,0,1205.0
SAJANVAR ROAD,SJF,Gujarat,WR,21.07527,71.60840800000001,False,0,633.0
SARAI JAGDISH,SJGH,Uttar Pradesh,NER,25.30009,82.365134,False,0,1205.0
SANJAY GRAM,SJGM,Bihar,,25.706241,87.890377,False,0,711.0
Sanjha,SJJ,Bihar,ER,25.0658316907,87.0008507605,False,0,711.0
SURJA KAMAL,SJKL,West Bengal,,25.935932,87.849258,False,0,713.0
SANGAM JAGARLAMUDI,SJL,Andhra Pradesh,SCR,16.246589,80.570521,True,2,574.0
Sajuma,SJM,Andhra Pradesh,NR,29.726968,76.296444,False,0,574.0
SANJAN,SJN,Gujarat,WR,20.19165,72.820594,True,9,633.0
SUJANPUR,SJNP,Punjab,NR,32.31198,75.61346499999999,True,6,297.0
SHUJALPUR,SJP,Madhya Pradesh,,23.381236,76.72347500000001,True,67,614.0
Sujalpur,SJPA,West Bengal,?,21.763167000000003,87.65749699999999,False,0,713.0
SUJATA PURAM HALT,SJPM,Karnataka,SWR,12.140253,76.675521,False,0,416.0
Surjyapur,SJPR,West Bengal,ER,22.293128,88.466557,False,0,713.0
SURAJPUR ROAD,SJQ,Chhattisgarh,SECR,23.289233,82.880146,True,4,162.0
SAJHERPAR,SJRR,West Bengal,,26.4224452405,89.35227413269999,False,0,713.0
SHAMLAJI ROAD,SJS,Gujarat,NWR,23.621619,73.335655,False,0,633.0
Salemgarhmasani,SJSM,Rajasthan,NWR,29.550109363942525,74.46238562464714,False,0,645.0
SHUJAATPUR,SJT,Uttar Pradesh,,25.605607000000003,81.401934,True,4,1205.0
Sojitra,SJTR,Gujarat,WR,,,False,0,633.0
Sanjhauli Halt,SJV,Bihar,ECR,25.1438922456,84.191033988,False,0,711.0
SANJEEVAIAH PARK,SJVP,Telangana,,17.435951,78.475688,False,0,150.0
SAKHUN,SK,Rajasthan,NWR,26.7380786343,75.0911894116,True,2,645.0
SIKANDRA RAO,SKA,Uttar Pradesh,,27.684085999999997,78.387573,True,2,1205.0
SK Para,SKAP,Tripura,NFR,23.971989,91.94712,False,0,17.0
SAKARIYA,SKAR,Madhya Pradesh,,24.607481,80.90078,False,0,614.0
SHIKOHABAD JN,SKB,Uttar Pradesh,,27.085686,78.57495499999999,True,42,1205.0
SILAKHEDI,SKBN,Madhya Pradesh,,23.093053,76.057298,False,0,614.0
SHANKARPUR BHADAURA,SKBR,Madhya Pradesh,WCR,24.083218,81.93144699999999,False,0,614.0
SIKRODA MINA,SKDM,Rajasthan,,26.722854,77.002212,False,0,645.0
Sukhshena,SKEN,Bihar,?,25.790577,87.111962,False,0,711.0
SAKHOTI TANDA,SKF,Uttar Pradesh,NR,29.192626,77.71804900000001,True,2,1205.0
SAKTIGARH,SKG,West Bengal,,23.205879,87.971782,False,0,713.0
SAKTESGARH,SKGH,Uttar Pradesh,NCR,24.999741,82.821887,True,5,1205.0
Sukhasan Kothi,SKHK,Bihar,ECR,25.841387,87.15210099999999,False,0,711.0
SIKHERA MB HALT,SKHR,Uttar Pradesh,,28.7567148575,77.9499696448,False,0,1205.0
SAKRI JN,SKI,Bihar,,26.208947,86.078137,True,16,711.0
SAHIBPUR KAMAL JN,SKJ,Bihar,ECR,25.4270372397,86.4001292639,True,8,711.0
SIKKAL,SKK,Tamil Nadu,SR,10.753121,79.790691,False,0,557.0
SINGAPERUMAL KOIL,SKL,Tamil Nadu,,12.7624604323,80.0010589618,False,0,557.0
Sukli,SKLI,Madhya Pradesh,,21.677859,79.683653,False,0,614.0
SHANKARPUR,SKLP,Uttar Pradesh,,27.447221,81.01440500000001,False,0,1205.0
Sakleshpur,SKLR,Karnataka,SWR,12.945368,75.778745,True,6,416.0
SINGARAYAKONDA,SKM,Andhra Pradesh,,15.253118,80.027126,True,27,574.0
SRIKRISHNA NAGAR,SKN,Uttar Pradesh,,25.88403,82.447803,True,8,1205.0
Sukinda Road,SKND,Orissa,ECoR,20.971268,86.05375,True,4,65.0
Shakar Nagar,SKNR,Andhra Pradesh,SCR,18.659388000000003,77.905991,False,0,574.0
SHANKARPALLI,SKP,Telangana,,17.450825,78.131116,True,16,150.0
SHRIKALYANPURA,SKPA,Rajasthan,,25.189878,76.094182,False,0,645.0
SIKARPAI,SKPI,Odisha,,19.39189955,83.32010335,True,2,235.0
Sikarpur Halt,SKPR,Madhya Pradesh,,21.984896,78.946006,False,0,614.0
SOMANAYAKKANPTI,SKPT,Tamil Nadu,,12.574922,78.54245200000001,True,2,557.0
SIKANDARPUR,SKQ,Uttar Pradesh,,28.247759,77.783931,False,1,1205.0
SAKHPUR,SKR,Gujarat,WR,21.748997,69.833241,True,2,633.0
SIKARIA,SKRI,Bihar,,25.5633290199,84.34768584109999,False,0,711.0
SALEKASA,SKS,Chhattisgarh,,21.30163,80.493224,True,6,162.0
Sikosa,SKSO,Chhattisgarh,SECR,20.868216,81.285568,False,0,162.0
SAKTI,SKT,Chhattisgarh,,22.011785000000003,82.956526,True,18,162.0
Shakti Nagar,SKTN,Uttar Pradesh,ECR,24.122899,82.704734,True,4,1205.0
Sikroda,SKU,Madhya Pradesh,NCR,26.336915,77.73236299999999,False,0,614.0
SANKVAL,SKVL,Goa,SWR,15.370791,73.86771300000001,False,0,21.0
Sheikhupur,SKW,Uttar Pradesh,NER,28.003862,79.10472999999999,False,0,1205.0
SARKARA,SKX,Uttarakhand,NER,29.166922000000003,79.083308,False,0,46.0
Shikara,SKY,Madhya Pradesh,SECR,22.798847,79.858161,True,9,614.0
SIRPUR KAGAZNAGAR,SKZR,Telangana,,19.345659,79.489201,True,81,150.0
SURATHKAL,SL,Karnataka,KR,12.989191,74.80617699999999,True,18,416.0
SALBONI,SLB,West Bengal,SER,22.640971,87.321899,True,12,713.0
SALAI BANWA,SLBN,Uttar Pradesh,,24.4212133613,83.00889543950001,False,0,1205.0
SALSALA BARI,SLBS,West Bengal,,26.486647,89.594991,False,0,713.0
SAKALDIHA,SLD,Uttar Pradesh,,25.331472,83.289193,True,8,1205.0
SILLI,SLF,West Bengal,,23.3515633971,85.82812938660001,True,2,713.0
SIMLAGARH,SLG,West Bengal,,23.095679,88.23121300000001,False,0,713.0
SULERJAVALGE,SLGE,Karnataka,SWR,17.45892,75.974841,True,2,416.0
SHELGOAN H,SLGH,Maharashtra,SCR,19.080130931400003,77.5883907849,True,4,754.0
SANKARALINGAPRM,SLGM,Tamil Nadu,,9.524914,77.88414,False,0,557.0
SIMALUGURI JN,SLGR,Assam,NFR,26.917281,94.756816,True,29,278.0
SILIARI,SLH,Chhattisgarh,,21.426336000000003,81.755534,True,6,162.0
SALHANA,SLHA,Madhya Pradesh,WCR,23.8204620979,80.65672125239999,False,0,614.0
Shilhauri Halt,SLHI,Bihar,,25.9530212347,84.8337491992,False,0,711.0
SULAH HIMACHAL PRADESH,SLHP,Himachal Pradesh,NR,32.070953,76.475805,False,0,55.0
SANGLI,SLI,Maharashtra,CR,16.858669000000003,74.588939,True,36,754.0
SAKRIGALI JN,SLJ,Jharkhand,,25.243359,87.715967,True,2,270.0
SALGA JHARI,SLJR,Jharkhand,,22.75832,86.228747,False,0,270.0
SANDAL KALAN,SLKN,Haryana,,29.063432,77.012589,False,0,201.0
SALKAROAD,SLKR,Chhattisgarh,,22.36745,82.010606,True,8,162.0
SALAKATI,SLKX,Assam,,26.44577,90.357339,False,0,278.0
Somalapuram,SLM,Andhra Pradesh,SWR,14.914015,76.86885600000001,True,2,574.0
SALEM EAST,SLME,Tamil Nadu,,11.662932,78.178121,False,0,557.0
SULTANPUR,SLN,Uttar Pradesh,,26.263027,82.066106,True,50,1205.0
SALAUNA,SLNA,Bihar,,25.603476,86.260279,False,0,711.0
SAMALKOT JN,SLO,Andhra Pradesh,,17.044827,82.168724,True,130,574.0
Salona,SLON,Assam,NFR,26.503912999999997,92.990043,False,0,278.0
SELOO ROAD,SLOR,Maharashtra,,20.776649999999997,78.71490899999999,False,0,754.0
SALPA,SLP,Maharashtra,CR,17.963070994400002,74.17178775389999,False,0,754.0
Shivalingapuram,SLPM,Andhra Pradesh,ECoR,18.196655,83.066187,True,2,574.0
Silpaprabesh,SLPR,West Bengal,,22.058566000000003,88.10654500000001,False,0,713.0
Salona Assam,SLQ,Assam,,26.448981,92.961877,False,0,278.0
Salogra,SLR,Himachal Pradesh,NR,30.934311,77.130516,True,6,55.0
SARALA,SLRA,Odisha,,21.511822,84.017534,False,0,235.0
SURLA ROAD,SLRD,Andhra Pradesh,,19.177016,84.719145,False,0,574.0
SALARPUR,SLRP,Uttar Pradesh,,26.752552,82.013173,False,0,1205.0
SHELARWADI,SLRW,Maharashtra,,18.700940000000003,73.705901,False,0,754.0
SALANPUR,SLS,West Bengal,,23.760355,86.876395,True,4,713.0
SILAUT,SLT,Bihar,,26.048926,85.44337800000001,True,2,711.0
SILLAKKUDI,SLTH,Tamil Nadu,,11.095633418,79.0368619916,False,0,557.0
SASALU,SLU,Karnataka,SWR,14.226683,76.108388,False,0,416.0
SANDALPUR,SLV,Madhya Pradesh,,26.113488,78.19639500000001,False,0,614.0
SOHWAL,SLW,Uttar Pradesh,,26.753048,81.983837,True,9,1205.0
SILAWAR,SLWR,Uttar Pradesh,NR,29.505405,77.345001,False,0,1205.0
SELENG HAT,SLX,Assam,NFR,26.7834380329,94.4827626898,False,0,278.0
SAMALPATTI,SLY,Tamil Nadu,,12.311594,78.484032,True,4,557.0
SOLARI,SLZ,Odisha,,19.800255,85.24778599999999,False,0,235.0
SAMSI,SM,West Bengal,,25.276197,88.00975700000001,True,17,713.0
SAMUDRAGARH,SMAE,West Bengal,ER,23.335767,88.324967,False,1,713.0
SALIM PUR BIHAR,SMBH,Bihar,,25.473618,85.44577199999999,False,0,711.0
SHRI MAHABIRJI,SMBJ,Rajasthan,WCR,26.684155,76.96766400000001,True,24,645.0
SIMBHOOLI,SMBL,Uttar Pradesh,,28.765191,77.98347199999999,True,6,1205.0
SAMBA,SMBX,Jammu and Kashmir,NR,32.528358000000004,75.120256,True,28,16.0
Samnapur,SMC,Madhya Pradesh,SECR,21.9419101772,80.1564133228,True,7,614.0
SHYAM CHAK,SMCK,West Bengal,,22.363451,87.500479,False,0,713.0
SAWAI MADHOPUR D CABIN,SMDC,Rajasthan,,26.0356,76.375851,False,0,645.0
SAMUDRAM,SMDM,Tamil Nadu,,10.652687,78.493545,False,0,557.0
SHAHABAD MOHAMADPUR,SMDP,Delhi NCT,NR,28.560927,77.071838,False,0,28.0
Simodara,SMDR,Gujarat,WR,21.4596673,73.0912591,False,0,633.0
Semmandappatti,SMDT,Tamil Nadu,SWR,11.7955548355,78.0260572961,False,0,557.0
Shimoga,SME,Karnataka,SWR,13.927613,75.592671,True,6,416.0
Shimoga Town,SMET,Karnataka,SWR,13.943037,75.583174,True,10,416.0
SAMAR GOPALPUR,SMF,Haryana,NR,28.9608890803,76.51864460750001,False,0,201.0
Samaguri,SMGR,Assam,NFR,26.416262999999997,92.849833,False,0,278.0
SIMRAHA,SMH,Bihar,,26.1944356285,87.32135753540001,False,0,711.0
SITAMARHI JN,SMI,Bihar,,26.594374,85.504707,True,16,711.0
SAMALKHA,SMK,Haryana,,29.240172,77.003034,True,15,201.0
Sham Kauria,SMKR,Bihar,NER,26.0358164456,84.8330358765,False,0,711.0
Somankatti,SMKT,Karnataka,SWR,15.766716,75.632594,False,0,416.0
Shimla,SML,Himachal Pradesh,NR,31.102794,77.159932,True,10,55.0
SAMLAYA JN,SMLA,Gujarat,,22.483966,73.302104,True,4,633.0
Shimiliaguda,SMLG,Andhra Pradesh,ECoR,18.30364,82.95710500000001,True,2,574.0
SAMLOTI,SMLT,Himachal Pradesh,NR,32.098872,76.360945,False,0,55.0
SALIYAMANGALAM,SMM,Tamil Nadu,SR,10.77933,79.275262,False,0,557.0
SARMATANR,SMND,Jharkhand,,24.344874,85.65550400000001,False,0,270.0
SOMTANE,SMNE,Maharashtra,CR,18.952233,73.145524,True,4,754.0
SOMNATH,SMNH,Gujarat,WR,20.896132,70.408254,True,6,633.0
Shri Makri Nath Nagar,SMNN,Rajasthan,NWR,28.179884,74.824623,False,0,645.0
SEMAPUR,SMO,Bihar,,25.524483,87.47044100000001,True,12,711.0
SHAMBHUPURA,SMP,Rajasthan,WR,24.771439,74.641918,True,4,645.0
Shampura,SMPA,Rajasthan,WCR,25.222941,75.233108,True,4,645.0
Shambhupura C Cabin,SMPC,Rajasthan,,24.792781,74.63844900000001,False,0,645.0
Shri Madhopur,SMPR,Rajasthan,NWR,27.457628,75.59829400000001,True,6,645.0
SHAMLI,SMQL,Uttar Pradesh,NR,29.444597,77.316231,True,4,1205.0
SAMDHARI JN,SMR,Rajasthan,NWR,25.837202,72.57300699999999,True,16,645.0
SAMRALA,SMRL,Punjab,,30.824281,76.18245499999999,False,0,297.0
SUMRERI,SMRR,Madhya Pradesh,,24.006945,78.399411,True,3,614.0
Samaswara,SMSR,Madhya Pradesh,SECR,22.048501,79.334804,True,2,614.0
SALAMATPUR,SMT,Madhya Pradesh,,23.461639,77.67275,True,7,614.0
SAMUKTALA ROAD,SMTA,West Bengal,,26.483337452,89.6346837433,True,2,713.0
Saheed Matangini,SMTG,West Bengal,SER,22.301974,87.90811500000001,False,0,713.0
SIMARIATAL,SMTL,Madhya Pradesh,,25.9219956094,78.3042595734,False,0,614.0
Somthan,SMTN,Maharashtra,CR,20.4387926,77.576786,False,0,754.0
SAMBHU,SMU,Punjab,,30.4290274715,76.684143667,False,0,297.0
